time,depth
00:00:00 01-Jan-2000,13.9
00:01:00 01-Jan-2000,10.8
00:02:00 01-Jan-2000,16.5
00:03:00 01-Jan-2000,14.8
00:04:00 01-Jan-2000,4.7
00:05:00 01-Jan-2000,12.1
00:06:00 01-Jan-2000,16.1
00:07:00 01-Jan-2000,9.1
00:08:00 01-Jan-2000,14.5
00:09:00 01-Jan-2000,11.6
00:10:00 01-Jan-2000,10.5
00:11:00 01-Jan-2000,13.6
00:12:00 01-Jan-2000,22.8
00:13:00 01-Jan-2000,10.9
00:14:00 01-Jan-2000,17.7
00:15:00 01-Jan-2000,11.2
00:16:00 01-Jan-2000,15.2
00:17:00 01-Jan-2000,13.1
00:18:00 01-Jan-2000,4.5
00:19:00 01-Jan-2000,8.2
00:20:00 01-Jan-2000,7
00:21:00 01-Jan-2000,14.9
00:22:00 01-Jan-2000,14
00:23:00 01-Jan-2000,11.4
00:24:00 01-Jan-2000,12.4
00:25:00 01-Jan-2000,10.4
00:26:00 01-Jan-2000,14.1
00:27:00 01-Jan-2000,7.7
00:28:00 01-Jan-2000,17
00:29:00 01-Jan-2000,9.3
00:30:00 01-Jan-2000,16.8
00:31:00 01-Jan-2000,18.5
00:32:00 01-Jan-2000,12.9
00:33:00 01-Jan-2000,6
00:34:00 01-Jan-2000,11.3
00:35:00 01-Jan-2000,18.1
00:36:00 01-Jan-2000,11
00:37:00 01-Jan-2000,7.3
00:38:00 01-Jan-2000,12
00:39:00 01-Jan-2000,11.3
00:40:00 01-Jan-2000,19.3
00:41:00 01-Jan-2000,15.4
00:42:00 01-Jan-2000,12.7
00:43:00 01-Jan-2000,9.8
00:44:00 01-Jan-2000,10.5
00:45:00 01-Jan-2000,17.5
00:46:00 01-Jan-2000,14.2
00:47:00 01-Jan-2000,7.8
00:48:00 01-Jan-2000,11.9
00:49:00 01-Jan-2000,10
00:50:00 01-Jan-2000,13
00:51:00 01-Jan-2000,19.3
00:52:00 01-Jan-2000,6.8
00:53:00 01-Jan-2000,11.9
00:54:00 01-Jan-2000,7
00:55:00 01-Jan-2000,11.7
00:56:00 01-Jan-2000,15.3
00:57:00 01-Jan-2000,9.8
00:58:00 01-Jan-2000,14.6
00:59:00 01-Jan-2000,13.2
01:00:00 01-Jan-2000,3.4
01:01:00 01-Jan-2000,11.2
